Name,Team,Position,Points,Value
Eddie Lacy,GB,RB,232.7,140.5
Adrian Peterson,Min,RB,222.6,130.4
Jamaal Charles,KC,RB,218.7,126.5
C.J. Anderson,Den,RB,218.6,126.4
Marshawn Lynch,Sea,RB,216.6,124.4
Le'Veon Bell,Pit,RB,211.5,119.3
LeSean McCoy,Buf,RB,205.5,113.3
DeMarco Murray,Phi,RB,203.6,111.4
Jeremy Hill,Cin,RB,201.6,109.4
Matt Forte,Chi,RB,200.4,108.2
Antonio Brown,Pit,WR,209.1,105.1
Lamar Miller,Mia,RB,192.5,100.3
Carlos Hyde,SF,RB,186.5,94.3
Demaryius Thomas,Den,WR,196,92
Justin Forsett,Bal,RB,182.4,90.2
Dez Bryant,Dal,WR,194,90
Mark Ingram,NO,RB,179.6,87.4
Rob Gronkowski,NE,TE,168,85.5
Odell Beckham Jr.,NYG,WR,189,85
Seahawks,,D,187,85
Calvin Johnson,Det,WR,188,84
Julio Jones,Atl,WR,187.1,83.1
Andrew Luck,Ind,QB,324.3,82.9
Frank Gore,Ind,RB,172.5,80.3
Arian Foster*,Hou,RB,172.4,80.2
Todd Gurley,StL,RB,170.4,78.2
A.J. Green,Cin,WR,182.1,78.1
Alfred Morris,Wsh,RB,168.5,76.3
Aaron Rodgers,GB,QB,317,75.6
Randall Cobb,GB,WR,178,74
Latavius Murray,Oak,RB,164.8,72.6
Jonathan Stewart,Car,RB,164.4,72.2
Melvin Gordon,SD,RB,163.3,71.1
Alshon Jeffery,Chi,WR,173,69
T.Y. Hilton,Ind,WR,167.2,63.2
T.J. Yeldon,Jac,RB,153.4,61.2
Drew Brees,NO,QB,301.9,60.5
Russell Wilson,Sea,QB,299.8,58.4
Joique Bell,Det,RB,149.5,57.3
Peyton Manning,Den,QB,298,56.6
Chris Ivory,NYJ,RB,148.4,56.2
Mike Evans,TB,WR,160,56
Brandin Cooks,NO,WR,158.8,54.8
Tom Brady,NE,QB,293.9,52.5
Andre Ellington,Ari,RB,144.3,52.1
Emmanuel Sanders,Den,WR,155,51
Giovani Bernard,Cin,RB,142.3,50.1
C.J. Spiller,NO,RB,141.9,49.7
Jimmy Graham,Sea,TE,130.1,47.6
LeGarrette Blount,NE,RB,139.5,47.3
Tevin Coleman,Atl,RB,138.4,46.2
Joseph Randle,Dal,RB,137.5,45.3
Devonta Freeman,Atl,RB,136.4,44.2
Jordan Matthews,Phi,WR,147,43
Julian Edelman,NE,WR,146.4,42.4
DeAndre Hopkins,Hou,WR,145.1,41.1
Matt Ryan,Atl,QB,281.6,40.2
Tony Romo,Dal,QB,279,37.6
Ben Roethlisberger,Pit,QB,278.8,37.4
DeSean Jackson,Wsh,WR,141,37
Isaiah Crowell,Cle,RB,128.4,36.2
Brandon Marshall,NYJ,WR,140,36
Keenan Allen,SD,WR,139.5,35.5
Ryan Tannehill,Mia,QB,276.7,35.3
Bills,,D,137,35
Travis Kelce,KC,TE,117.3,34.8
Rashad Jennings,NYG,RB,126.3,34.1
Golden Tate,Det,WR,137.1,33.1
Greg Olsen,Car,TE,115.3,32.8
Ameer Abdullah,Det,RB,124.3,32.1
Cam Newton,Car,QB,272.6,31.2
Andre Johnson,Ind,WR,135.1,31.1
Texans,,D,132,30
Sammy Watkins,Buf,WR,133,29
Allen Robinson,Jac,WR,133,29
Eli Manning,NYG,QB,269.9,28.5
Amari Cooper,Oak,WR,132,28
Doug Martin,TB,RB,119.2,27
Darren McFadden,Dal,RB,118.4,26.2
Vincent Jackson,TB,WR,130,26
Jarvis Landry,Mia,WR,129.6,25.6
Philip Rivers,SD,QB,266.8,25.4
Jeremy Maclin,KC,WR,129.4,25.4
Martellus Bennett,Chi,TE,106.9,24.4
Matthew Stafford,Det,QB,265.7,24.3
Patriots,,D,126,24
Davante Adams,GB,WR,127,23
Bishop Sankey,Ten,RB,114.3,22.1
Rams,,D,124,22
Jason Witten,Dal,TE,103,20.5
Ryan Mathews,Phi,RB,110.4,18.2
Nelson Agholor,Phi,WR,122.2,18.2
Duke Johnson,Cle,RB,110.3,18.1
Shane Vereen,NYG,RB,110.2,18
Zach Ertz,Phi,TE,100.5,18
Rueben Randle,NYG,WR,121.8,17.8
Michael Floyd,Ari,WR,119.1,15.1
Larry Fitzgerald,Ari,WR,119,15
John Brown,Ari,WR,119,15
Dolphins,,D,117,15
Colin Kaepernick,SF,QB,256.2,14.8
Danny Woodhead,SD,RB,106.2,14
Torrey Smith,SF,WR,118,14
Charles Johnson,Min,WR,118,14
Sam Bradford,Phi,QB,254.7,13.3
Mike Wallace,Min,WR,117,13
Steven Hauschka,Sea,K,143,13
Delanie Walker,Ten,TE,94.6,12.1
Devin Funchess,Car,WR,116,12
Eagles,,D,114,12
Eric Decker,NYJ,WR,115,11
