Name,Position,Team,Rank,Deviation
Adrian Peterson,RB1,MIN,2.04,1.81
Le'Veon Bell,RB2,PIT,3.29,2.46
Jamaal Charles,RB3,KC,3.53,1.73
Eddie Lacy,RB4,GB,3.78,2.76
Marshawn Lynch,RB5,SEA,5.18,1.99
Antonio Brown,WR1,PIT,6.59,2.23
Dez Bryant,WR2,DAL,8.49,2.43
Rob Gronkowski,TE1,NE,9.33,3.41
C.J. Anderson,RB6,DEN,10.14,4.76
Julio Jones,WR3,ATL,10.57,2.44
Demaryius Thomas,WR4,DEN,11.02,3.55
Odell Beckham Jr.,WR5,NYG,12.16,3.27
Jeremy Hill,RB7,CIN,12.63,3.55
Calvin Johnson,WR6,DET,13.55,2.84
Matt Forte,RB8,CHI,14.73,3.54
DeMarco Murray,RB9,PHI,14.92,4.77
A.J. Green,WR7,CIN,18.08,2.69
Randall Cobb,WR8,GB,19.33,4.98
LeSean McCoy,RB10,BUF,19.67,7.49
Andrew Luck,QB1,IND,22.59,6.10
Alshon Jeffery,WR9,CHI,23.45,5.44
Justin Forsett,RB11,BAL,24.12,8.71
Lamar Miller,RB12,MIA,24.57,9.23
Mike Evans,WR10,TB,24.76,3.97
Aaron Rodgers,QB2,GB,25.67,7.14
Frank Gore,RB13,IND,27.02,6.79
T.Y. Hilton,WR11,IND,27.08,5.40
Mark Ingram,RB14,NO,28.69,5.97
DeAndre Hopkins,WR12,HOU,29.31,5.77
Brandin Cooks,WR13,NO,30.65,5.05
Jordan Matthews,WR14,PHI,32.24,8.08
Alfred Morris,RB15,WAS,33.67,8.99
Emmanuel Sanders,WR15,DEN,35.69,8.95
Jimmy Graham,TE2,SEA,36.49,10.48
Latavius Murray,RB16,OAK,37.55,7.84
Jonathan Stewart,RB17,CAR,39.82,12.18
Melvin Gordon,RB18,SD,40.12,11.78
Carlos Hyde,RB19,SF,42.73,9.72
Andre Johnson,WR16,IND,43.02,10.85
Andre Ellington,RB20,ARI,46.04,11.07
Keenan Allen,WR17,SD,46.82,10.68
Amari Cooper,WR18,OAK,46.98,10.22
Russell Wilson,QB3,SEA,47.27,12.89
Brandon Marshall,WR19,NYJ,50.24,8.22
T.J. Yeldon,RB21,JAC,50.31,11.23
Greg Olsen,TE3,CAR,50.63,10.90
Peyton Manning,QB4,DEN,50.84,15.70
Travis Kelce,TE4,KC,52.33,11.98
Golden Tate,WR20,DET,53.29,8.85
Julian Edelman,WR21,NE,54.37,12.62
Christopher Ivory,RB22,NYJ,55.08,19.67
Drew Brees,QB5,NO,53.06,15.47
Davante Adams,WR22,GB,56.92,19.30
DeSean Jackson,WR23,WAS,56.96,11.28
Sammy Watkins,WR24,BUF,57.24,7.96
Jeremy Maclin,WR25,KC,57.80,11.05
Joseph Randle,RB23,DAL,58.10,20.12
LeGarrette Blount,RB24,NE,59.65,11.64
Ben Roethlisberger,QB6,PIT,56.90,15.18
Doug Martin,RB25,TB,59.94,15.43
Ameer Abdullah,RB26,DET,57.48,16.38
Todd Gurley,RB27,STL,62.53,16.68
Allen Robinson,WR26,JAC,60.63,13.57
Vincent Jackson,WR27,TB,63.86,13.55
C.J. Spiller,RB28,NO,65.80,15.61
Matt Ryan,QB7,ATL,66.00,16.13
Martellus Bennett,TE5,CHI,70.65,14.58
Tony Romo,QB8,DAL,68.48,16.47
Giovani Bernard,RB29,CIN,78.27,18.10
Jarvis Landry,WR28,MIA,76.08,20.24
Rashad Jennings,RB30,NYG,79.37,15.73
Ryan Tannehill,QB9,MIA,77.10,15.91
Arian Foster,RB31,HOU,78.90,32.75
Tom Brady,QB10,NE,81.88,42.48
Larry Fitzgerald,WR29,ARI,82.90,17.48
Eli Manning,QB11,NYG,80.44,23.53
Joique Bell,RB32,DET,80.71,18.59
Charles Johnson,WR30,MIN,83.27,21.60
John Brown,WR31,ARI,84.00,14.92
Nelson Agholor,WR32,PHI,81.71,18.79
Cam Newton,QB12,CAR,82.06,17.99
Roddy White,WR33,ATL,84.67,16.11
Eric Decker,WR34,NYJ,84.78,21.48
Steve Smith,WR35,BAL,84.96,16.82
Anquan Boldin,WR36,SF,86.08,22.33
Matthew Stafford,QB13,DET,84.90,21.72
Mike Wallace,WR37,MIN,86.60,19.95
Jordan Cameron,TE6,MIA,87.48,12.06
Tevin Coleman,RB33,ATL,89.17,18.86
Jason Witten,TE7,DAL,90.65,9.94
Philip Rivers,QB14,SD,91.77,21.01
Isaiah Crowell,RB34,CLE,91.90,20.10
Delanie Walker,TE8,TEN,92.98,16.66
Torrey Smith,WR38,SF,93.77,16.16
Martavis Bryant,WR39,PIT,95.08,29.69
Marques Colston,WR40,NO,98.29,19.93
Shane Vereen,RB35,NYG,99.23,18.36
Devonta Freeman,RB36,ATL,100.10,17.90
Sam Bradford,QB15,PHI,100.54,23.11
Devin Funchess,WR41,CAR,104.69,24.46
Michael Floyd,WR42,ARI,107.33,22.28
Zach Ertz,TE9,PHI,105.81,23.87
Ryan Mathews,RB37,PHI,106.60,18.36
Bishop Sankey,RB38,TEN,107.04,19.11
Kendall Wright,WR43,TEN,107.13,16.71
Pierre Garcon,WR44,WAS,108.42,19.20
Brandon LaFell,WR45,NE,109.98,22.13
Duke Johnson,RB39,CLE,112.83,23.39
Teddy Bridgewater,QB16,MIN,116.08,25.91
Tyler Eifert,TE10,CIN,115.35,23.56
Tre Mason,RB40,STL,116.96,21.82
Colin Kaepernick,QB17,SF,117.10,17.94
Brian Quick,WR46,STL,116.04,23.31
Kyle Rudolph,TE11,MIN,117.87,24.73
Victor Cruz,WR47,NYG,120.69,25.28
Eddie Royal,WR48,CHI,114.80,24.25
Julius Thomas,TE12,JAC,119.74,24.42
Dwayne Allen,TE13,IND,121.74,23.99
